success,code,data,responseTimestamp
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 39836, 'amount': 6879717.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 27358, 'amount': 4794150.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 22104, 'amount': 3982391.0}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 19003, 'amount': 3419453.0}}, {'entityName': 'delhi', 'metric': {'type': 'TOTAL', 'count': 11716, 'amount': 1897480.0}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 9884, 'amount': 1912266.0}}, {'entityName': 'gujarat', 'metric': {'type': 'TOTAL', 'count': 7697, 'amount': 1430591.0}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 7619, 'amount': 1432764.0}}, {'entityName': 'haryana', 'metric': {'type': 'TOTAL', 'count': 6321, 'amount': 1179814.0}}, {'entityName': 'madhya pradesh', 'metric': {'type': 'TOTAL', 'count': 6283, 'amount': 1198701.0}}]",1692610793302
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 20040, 'amount': 3301769.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 8699, 'amount': 1482628.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 7559, 'amount': 1221018.0}}, {'entityName': 'mumbai suburban', 'metric': {'type': 'TOTAL', 'count': 5780, 'amount': 884439.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 4783, 'amount': 805518.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 4495, 'amount': 778492.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 4150, 'amount': 711890.0}}, {'entityName': 'visakhapatnam', 'metric': {'type': 'TOTAL', 'count': 3504, 'amount': 614212.0}}, {'entityName': 'aurangabad', 'metric': {'type': 'TOTAL', 'count': 2898, 'amount': 509460.0}}, {'entityName': 'anantapur', 'metric': {'type': 'TOTAL', 'count': 2739, 'amount': 485777.0}}]",1692610793302
True,SUCCESS,"[{'entityName': '560068', 'metric': {'type': 'TOTAL', 'count': 1076, 'amount': 168415.0}}, {'entityName': '560037', 'metric': {'type': 'TOTAL', 'count': 1034, 'amount': 155914.0}}, {'entityName': '110059', 'metric': {'type': 'TOTAL', 'count': 895, 'amount': 132104.0}}, {'entityName': '560076', 'metric': {'type': 'TOTAL', 'count': 802, 'amount': 124790.0}}, {'entityName': '500072', 'metric': {'type': 'TOTAL', 'count': 760, 'amount': 122394.0}}, {'entityName': '560078', 'metric': {'type': 'TOTAL', 'count': 742, 'amount': 119673.0}}, {'entityName': '421201', 'metric': {'type': 'TOTAL', 'count': 668, 'amount': 104388.0}}, {'entityName': '560100', 'metric': {'type': 'TOTAL', 'count': 651, 'amount': 103528.0}}, {'entityName': '431003', 'metric': {'type': 'TOTAL', 'count': 651, 'amount': 107122.0}}, {'entityName': '110092', 'metric': {'type': 'TOTAL', 'count': 638, 'amount': 94570.0}}]",1692610793302
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 71662, 'amount': 19230156.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 53701, 'amount': 12407394.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 49812, 'amount': 12426481.0}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 34395, 'amount': 8406543.0}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 18131, 'amount': 4436969.0}}, {'entityName': 'rajasthan', 'metric': {'type': 'TOTAL', 'count': 15235, 'amount': 3758527.0}}, {'entityName': 'madhya pradesh', 'metric': {'type': 'TOTAL', 'count': 14476, 'amount': 3496126.0}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 12596, 'amount': 2878482.0}}, {'entityName': 'gujarat', 'metric': {'type': 'TOTAL', 'count': 12525, 'amount': 3335812.0}}, {'entityName': 'odisha', 'metric': {'type': 'TOTAL', 'count': 10955, 'amount': 2640191.0}}]",1692610844976
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 32192, 'amount': 6940765.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 18176, 'amount': 4567561.0}}, {'entityName': 'visakhapatnam', 'metric': {'type': 'TOTAL', 'count': 7906, 'amount': 1892376.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 6951, 'amount': 1718946.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 6340, 'amount': 1509162.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 6331, 'amount': 1397580.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 5929, 'amount': 1415970.0}}, {'entityName': 'nashik', 'metric': {'type': 'TOTAL', 'count': 5564, 'amount': 1418697.0}}, {'entityName': 'spsr nellore', 'metric': {'type': 'TOTAL', 'count': 5509, 'amount': 1259159.0}}, {'entityName': 'krishna', 'metric': {'type': 'TOTAL', 'count': 4519, 'amount': 1093882.0}}]",1692610844976
True,SUCCESS,"[{'entityName': '560068', 'metric': {'type': 'TOTAL', 'count': 1603, 'amount': 340876.0}}, {'entityName': '560076', 'metric': {'type': 'TOTAL', 'count': 1148, 'amount': 250474.0}}, {'entityName': '560078', 'metric': {'type': 'TOTAL', 'count': 1124, 'amount': 243443.0}}, {'entityName': '500072', 'metric': {'type': 'TOTAL', 'count': 1103, 'amount': 243812.0}}, {'entityName': '410501', 'metric': {'type': 'TOTAL', 'count': 1067, 'amount': 278535.0}}, {'entityName': '345021', 'metric': {'type': 'TOTAL', 'count': 1003, 'amount': 203794.0}}, {'entityName': '535003', 'metric': {'type': 'TOTAL', 'count': 968, 'amount': 195870.0}}, {'entityName': '431003', 'metric': {'type': 'TOTAL', 'count': 926, 'amount': 209817.0}}, {'entityName': '560037', 'metric': {'type': 'TOTAL', 'count': 923, 'amount': 202431.0}}, {'entityName': '560079', 'metric': {'type': 'TOTAL', 'count': 904, 'amount': 183362.0}}]",1692610844976
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 44798, 'amount': 27113814.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 31747, 'amount': 26814968.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 21464, 'amount': 12985632.0}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 20961, 'amount': 11339099.0}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 17470, 'amount': 14180416.999999998}}, {'entityName': 'rajasthan', 'metric': {'type': 'TOTAL', 'count': 12509, 'amount': 6471573.0}}, {'entityName': 'madhya pradesh', 'metric': {'type': 'TOTAL', 'count': 10653, 'amount': 4897124.0}}, {'entityName': 'tamil nadu', 'metric': {'type': 'TOTAL', 'count': 10290, 'amount': 8993575.0}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 10233, 'amount': 7510455.0}}, {'entityName': 'gujarat', 'metric': {'type': 'TOTAL', 'count': 9990, 'amount': 6055037.0}}]",1692610898023
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 18485, 'amount': 15922383.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 8211, 'amount': 4862704.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 5939, 'amount': 4405413.0}}, {'entityName': 'mumbai suburban', 'metric': {'type': 'TOTAL', 'count': 4631, 'amount': 3301120.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 3682, 'amount': 1892565.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 3486, 'amount': 2124943.0}}, {'entityName': 'visakhapatnam', 'metric': {'type': 'TOTAL', 'count': 3464, 'amount': 2203761.0}}, {'entityName': 'jaipur', 'metric': {'type': 'TOTAL', 'count': 3318, 'amount': 1641429.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 3298, 'amount': 2034226.0}}, {'entityName': 'nashik', 'metric': {'type': 'TOTAL', 'count': 2903, 'amount': 1492155.0}}]",1692610898023
True,SUCCESS,"[{'entityName': '560068', 'metric': {'type': 'TOTAL', 'count': 849, 'amount': 653177.0}}, {'entityName': '421302', 'metric': {'type': 'TOTAL', 'count': 609, 'amount': 459248.0}}, {'entityName': '560079', 'metric': {'type': 'TOTAL', 'count': 565, 'amount': 461758.0}}, {'entityName': '500072', 'metric': {'type': 'TOTAL', 'count': 554, 'amount': 307425.0}}, {'entityName': '560078', 'metric': {'type': 'TOTAL', 'count': 536, 'amount': 398681.0}}, {'entityName': '560076', 'metric': {'type': 'TOTAL', 'count': 525, 'amount': 495928.0}}, {'entityName': '560037', 'metric': {'type': 'TOTAL', 'count': 511, 'amount': 384244.0}}, {'entityName': '201301', 'metric': {'type': 'TOTAL', 'count': 496, 'amount': 320628.0}}, {'entityName': '560043', 'metric': {'type': 'TOTAL', 'count': 495, 'amount': 437875.0}}, {'entityName': '421201', 'metric': {'type': 'TOTAL', 'count': 465, 'amount': 347630.0}}]",1692610898023
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 55792, 'amount': 33137753.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 37595, 'amount': 30183325.0}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 28298, 'amount': 14810946.999999998}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 24103, 'amount': 18027573.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 22105, 'amount': 12749874.000000002}}, {'entityName': 'rajasthan', 'metric': {'type': 'TOTAL', 'count': 17800, 'amount': 8074225.0}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 15488, 'amount': 11172042.0}}, {'entityName': 'madhya pradesh', 'metric': {'type': 'TOTAL', 'count': 14427, 'amount': 5567927.0}}, {'entityName': 'tamil nadu', 'metric': {'type': 'TOTAL', 'count': 14406, 'amount': 11180849.0}}, {'entityName': 'delhi', 'metric': {'type': 'TOTAL', 'count': 12822, 'amount': 9655261.0}}]",1692610949866
