State,Year,Quarter,Type,Name,Transaction_count,Transaction_amount
india,2018,1,District,bengaluru urban,8306513,14162750303.06484
india,2018,1,District,pune,3842929,5378982326.835919
india,2018,1,District,central delhi,2997714,4312145216.274474
india,2018,1,District,mumbai,2671029,3923116793.952079
india,2018,1,District,chennai,2656230,4281137762.522443
india,2018,1,District,hyderabad,2545507,4287223789.76588
india,2018,1,District,jaipur,2417174,2953086960.1413727
india,2018,1,District,birbhum,2125816,2520486412.452376
india,2018,1,District,kolkata,2043129,2753347660.1429114
india,2018,1,District,bhopal,1704495,1905473874.8326716
india,2018,1,State,maharashtra,16387034,21711613257.725674
india,2018,1,State,uttar pradesh,12537805,13939970923.223106
india,2018,1,State,karnataka,12016899,19217895314.012802
india,2018,1,State,west bengal,11710225,10625978552.140453
india,2018,1,State,andhra pradesh,9039585,11996276391.823706
india,2018,1,State,telangana,8522766,13308204118.542435
india,2018,1,State,madhya pradesh,8025395,8681603403.446348
india,2018,1,State,rajasthan,7591690,8926293130.72684
india,2018,1,State,delhi,7122754,11211503806.91996
india,2018,1,State,tamil nadu,6726622,11261557697.516891
india,2018,2,District,bengaluru urban,11916035,23824727965.49048
india,2018,2,District,pune,5162876,8513428062.925206
india,2018,2,District,chennai,3719593,7305357440.752291
india,2018,2,District,central delhi,3589206,6223466821.092629
india,2018,2,District,mumbai,3277612,6048515205.760132
india,2018,2,District,jaipur,3175255,4952882923.415596
india,2018,2,District,hyderabad,3156805,6628159910.681627
india,2018,2,District,birbhum,2775489,3988930679.767912
india,2018,2,District,kolkata,2501448,4109821729.8900533
india,2018,2,District,north twenty four parganas,2119664,2509379355.091834
india,2018,2,State,maharashtra,22285740,36357057241.12254
india,2018,2,State,west bengal,18082446,18629183470.204285
india,2018,2,State,uttar pradesh,17710943,25720201695.701435
india,2018,2,State,karnataka,17116447,33515580081.29709
india,2018,2,State,andhra pradesh,12353918,22883914272.633617
india,2018,2,State,telangana,10764670,23017201517.652737
india,2018,2,State,madhya pradesh,10561412,15924081066.680984
india,2018,2,State,tamil nadu,9992128,20125844276.267662
india,2018,2,State,rajasthan,9973697,15559086175.759623
india,2018,2,State,delhi,9373723,17446299902.205147
india,2018,3,District,bengaluru urban,18405424,33812835282.27632
india,2018,3,District,central delhi,8165361,10515884583.426525
india,2018,3,District,pune,7890491,12601613622.467594
india,2018,3,District,birbhum,6066238,6130627463.516832
india,2018,3,District,chennai,5887343,10122319547.137985
india,2018,3,District,hyderabad,5786941,9503554478.108147
india,2018,3,District,khordha,5333443,4389717266.977921
india,2018,3,District,bankura,5179457,2464193070.534754
india,2018,3,District,jaipur,4954443,7882149494.55468
india,2018,3,District,north twenty four parganas,4856114,4545902671.152222
india,2018,3,State,west bengal,53705416,41843934183.177635
india,2018,3,State,maharashtra,31538538,52260817733.24835
india,2018,3,State,odisha,30052155,23094515775.585762
india,2018,3,State,uttar pradesh,26515356,37012114369.23937
india,2018,3,State,karnataka,25980261,48225091755.80772
india,2018,3,State,andhra pradesh,25626061,35718044599.21416
india,2018,3,State,telangana,19332703,32030093209.72354
india,2018,3,State,delhi,18547048,27375846860.618515
india,2018,3,State,madhya pradesh,17126985,24149742204.673225
india,2018,3,State,tamil nadu,15774078,29330092241.18405
india,2018,4,District,bengaluru urban,33061353,50279165003.07312
india,2018,4,District,pune,11075153,18048884123.019886
india,2018,4,District,central delhi,9373395,13878492766.290386
india,2018,4,District,hyderabad,9360515,14727846731.548256
india,2018,4,District,chennai,8007699,14632395110.56675
india,2018,4,District,jaipur,7271209,12107341570.492035
india,2018,4,District,gautam buddha nagar,6083056,7483532543.63562
india,2018,4,District,mumbai,6060284,11506143747.453331
india,2018,4,District,rangareddy,5803319,9396311751.227482
india,2018,4,District,kolkata,5401244,8502095208.881001
india,2018,4,State,maharashtra,46090223,79518937047.82959
india,2018,4,State,karnataka,44812071,73008386576.05942
india,2018,4,State,west bengal,36513548,40489619211.70402
india,2018,4,State,uttar pradesh,36100767,55096743575.91497
india,2018,4,State,andhra pradesh,30759548,51473779406.84041
india,2018,4,State,delhi,29187719,39722857618.706436
india,2018,4,State,telangana,28921154,49509088448.04927
india,2018,4,State,tamil nadu,22457444,43302073975.890976
india,2018,4,State,madhya pradesh,21397555,33905608072.964783
india,2018,4,State,odisha,21142798,23429869571.55922
india,2019,1,District,bengaluru urban,65174133,82111161572.76288
india,2019,1,District,hyderabad,24838664,34892156029.40753
india,2019,1,District,pune,23360634,32233517413.825317
india,2019,1,District,jaipur,19178441,25043540802.372772
india,2019,1,District,rangareddy,12952050,17677048557.63253
india,2019,1,District,central delhi,12885975,16258175800.83931
india,2019,1,District,chennai,11642449,18810971714.51368
india,2019,1,District,gautam buddha nagar,10750094,10286434896.5461
india,2019,1,District,medchal malkajgiri,10127087,13392043971.075241
india,2019,1,District,new delhi,10000765,13939472234.96883
india,2019,1,State,karnataka,86587609,117976382145.74966
india,2019,1,State,maharashtra,75079069,111420690920.33997
india,2019,1,State,telangana,65290702,95523262035.66321
india,2019,1,State,uttar pradesh,57324504,76524180134.0167
india,2019,1,State,andhra pradesh,57264522,83760595917.0792
india,2019,1,State,west bengal,47626388,50164672623.8785
india,2019,1,State,delhi,47007327,58469131789.49733
india,2019,1,State,rajasthan,43956040,61141158575.55252
india,2019,1,State,madhya pradesh,37301049,48070279522.042015
india,2019,1,State,odisha,34031942,35427127930.698456
india,2019,2,District,bengaluru urban,89148659,113389910485.89922
india,2019,2,District,pune,44795652,58398808592.1738
india,2019,2,District,hyderabad,43511186,73949377453.0185
india,2019,2,District,jaipur,27449382,46056907216.76753
india,2019,2,District,new delhi,23313548,36146671717.918365
india,2019,2,District,rangareddy,16348519,25359412038.382965
india,2019,2,District,patna,13421445,26125484618.416542
india,2019,2,District,khordha,13339889,19006076643.493904
india,2019,2,District,kolkata,13259522,17260848900.77318
india,2019,2,District,lucknow,12624404,22426462674.94428
india,2019,2,State,karnataka,115401604,163702024226.0841
india,2019,2,State,maharashtra,101149853,153294470088.05945
india,2019,2,State,telangana,89610379,155676443182.43457
india,2019,2,State,uttar pradesh,58883500,98917519370.67831
india,2019,2,State,delhi,57171512,81706816063.62862
india,2019,2,State,andhra pradesh,56409015,113634518758.22931
india,2019,2,State,rajasthan,50009286,89107313172.66756
india,2019,2,State,west bengal,47023535,57105691119.11844
india,2019,2,State,madhya pradesh,40846013,68334566380.56182
india,2019,2,State,tamil nadu,32171737,64207676025.75553
india,2019,3,District,bengaluru urban,131234422,150244275641.79712
india,2019,3,District,pune,67093416,78128868958.39702
india,2019,3,District,hyderabad,55159072,96365182751.25804
india,2019,3,District,jaipur,36334520,58402103360.67965
india,2019,3,District,new delhi,24687138,43288057341.92169
india,2019,3,District,rangareddy,23655175,33663962263.155968
india,2019,3,District,khordha,18364742,25509656902.49331
india,2019,3,District,medchal malkajgiri,17492750,23256556346.306458
india,2019,3,District,visakhapatnam,16694947,26944837120.046288
india,2019,3,District,kolkata,16306691,21451201632.248753
india,2019,3,State,karnataka,170733735,214536720438.18292
india,2019,3,State,maharashtra,148735581,199617506744.94272
india,2019,3,State,telangana,121495376,201930021130.42365
india,2019,3,State,andhra pradesh,76288614,139447944254.78943
india,2019,3,State,delhi,69537876,103196812046.45712
india,2019,3,State,uttar pradesh,68623959,111268137475.02844
india,2019,3,State,rajasthan,67303617,112468290031.92343
india,2019,3,State,west bengal,66444829,70540532616.82985
india,2019,3,State,madhya pradesh,53610411,77676321491.22867
india,2019,3,State,odisha,41422272,57304577359.217094
india,2019,4,District,bengaluru urban,180458808,199966708446.8142
india,2019,4,District,pune,91666565,103270644868.1607
india,2019,4,District,hyderabad,72987282,130230415629.3025
india,2019,4,District,jaipur,44335592,81782144762.48987
india,2019,4,District,rangareddy,31237803,44757331443.568375
india,2019,4,District,new delhi,29048107,54398427887.76768
india,2019,4,District,khordha,27477393,34227232121.528633
india,2019,4,District,visakhapatnam,23594874,39133296330.044624
india,2019,4,District,medchal malkajgiri,22999944,31417907129.793076
india,2019,4,District,kolkata,21917627,26475748918.32508
india,2019,4,State,karnataka,237796252,295047143447.2384
india,2019,4,State,maharashtra,201260620,272994428799.56488
india,2019,4,State,telangana,163572258,280746765547.7425
india,2019,4,State,andhra pradesh,107218103,200948315488.80518
india,2019,4,State,west bengal,96805838,88203610254.64601
india,2019,4,State,uttar pradesh,86905005,145538926507.3059
india,2019,4,State,rajasthan,85074242,159452410049.68317
india,2019,4,State,delhi,80744997,129024467424.89066
india,2019,4,State,madhya pradesh,68131989,104687926790.8659
india,2019,4,State,odisha,64995633,79769373632.04843
india,2020,1,District,bengaluru urban,200174352,231970686013.7528
india,2020,1,District,pune,107497963,119146177775.3236
india,2020,1,District,hyderabad,94177232,183207208610.81787
india,2020,1,District,jaipur,52623661,98360847993.80875
india,2020,1,District,rangareddy,31802492,45881228273.95146
india,2020,1,District,visakhapatnam,27115031,48809747614.678894
india,2020,1,District,medchal malkajgiri,25458101,37404467180.931694
india,2020,1,District,central delhi,24757650,41219414205.0607
india,2020,1,District,mumbai suburban,23598054,40462122569.6479
india,2020,1,District,khordha,23152370,39755139238.6053
india,2020,1,State,karnataka,271033890,353402054999.4003
india,2020,1,State,maharashtra,238944081,319995196718.0683
india,2020,1,State,telangana,199409525,371343780368.2118
india,2020,1,State,andhra pradesh,127677357,252737214289.0485
india,2020,1,State,rajasthan,102258812,190308238561.00217
india,2020,1,State,uttar pradesh,97239132,172416434960.69037
india,2020,1,State,delhi,81747604,133616543642.58943
india,2020,1,State,madhya pradesh,79366746,126737281436.18527
india,2020,1,State,tamil nadu,66953473,116569686179.4346
india,2020,1,State,west bengal,66250381,96653305190.9406
india,2020,2,District,bengaluru urban,132120979,176357097466.7659
india,2020,2,District,pune,58840981,94890914730.75931
india,2020,2,District,hyderabad,56374644,130820061488.30273
india,2020,2,District,jaipur,43871862,88270816977.90562
india,2020,2,District,visakhapatnam,25300401,48293889917.41437
india,2020,2,District,rangareddy,18068048,31273545586.261536
india,2020,2,District,medchal malkajgiri,17860704,29732057894.607735
india,2020,2,District,central delhi,17641823,30418597739.3527
india,2020,2,District,khordha,16842715,34814877058.416145
india,2020,2,District,ahmadabad,16430916,32731896547.150326
india,2020,2,State,karnataka,213221712,321104877020.14185
