State,Year,Quarter,Type,Name,Registered_users
india,2018,1,District,bengaluru urban,1922368
india,2018,1,District,pune,1211643
india,2018,1,District,jaipur,900773
india,2018,1,District,mumbai suburban,719300
india,2018,1,District,hyderabad,655175
india,2018,1,District,rangareddy,635175
india,2018,1,District,thane,631864
india,2018,1,District,ahmadabad,572811
india,2018,1,District,medchal malkajgiri,549429
india,2018,1,District,visakhapatnam,497187
india,2018,1,State,maharashtra,6106994
india,2018,1,State,uttar pradesh,4694250
india,2018,1,State,karnataka,3717763
india,2018,1,State,andhra pradesh,3336450
india,2018,1,State,telangana,3315560
india,2018,1,State,rajasthan,3158202
india,2018,1,State,gujarat,2690048
india,2018,1,State,west bengal,2604789
india,2018,1,State,madhya pradesh,2553603
india,2018,1,State,bihar,2133804
india,2018,2,District,bengaluru urban,2553312
india,2018,2,District,pune,1592293
india,2018,2,District,jaipur,1182983
india,2018,2,District,mumbai suburban,957633
india,2018,2,District,thane,861292
india,2018,2,District,hyderabad,842483
india,2018,2,District,rangareddy,804959
india,2018,2,District,ahmadabad,751746
india,2018,2,District,medchal malkajgiri,696211
india,2018,2,District,surat,652372
india,2018,2,State,maharashtra,8222371
india,2018,2,State,uttar pradesh,6442554
india,2018,2,State,karnataka,5030665
india,2018,2,State,andhra pradesh,4402540
india,2018,2,State,telangana,4260115
india,2018,2,State,rajasthan,4212964
india,2018,2,State,west bengal,3833795
india,2018,2,State,gujarat,3565825
india,2018,2,State,madhya pradesh,3441662
india,2018,2,State,bihar,3005872
india,2018,3,District,bengaluru urban,3167597
india,2018,3,District,pune,1974138
india,2018,3,District,jaipur,1438305
india,2018,3,District,mumbai suburban,1218632
india,2018,3,District,thane,1104206
india,2018,3,District,hyderabad,1024241
india,2018,3,District,rangareddy,963186
india,2018,3,District,ahmadabad,919252
india,2018,3,District,medchal malkajgiri,828425
india,2018,3,District,surat,808005
india,2018,3,State,maharashtra,10435033
india,2018,3,State,uttar pradesh,8096483
india,2018,3,State,karnataka,6372649
india,2018,3,State,andhra pradesh,5427617
india,2018,3,State,rajasthan,5175453
india,2018,3,State,telangana,5138501
india,2018,3,State,west bengal,4851740
india,2018,3,State,gujarat,4433183
india,2018,3,State,madhya pradesh,4309309
india,2018,3,State,tamil nadu,3900177
india,2018,4,District,bengaluru urban,4126734
india,2018,4,District,pune,2498852
india,2018,4,District,jaipur,1733893
india,2018,4,District,mumbai suburban,1578487
india,2018,4,District,thane,1473811
india,2018,4,District,hyderabad,1336872
india,2018,4,District,rangareddy,1217664
india,2018,4,District,ahmadabad,1212636
india,2018,4,District,medchal malkajgiri,1056739
india,2018,4,District,surat,998807
india,2018,4,State,maharashtra,13381602
india,2018,4,State,uttar pradesh,10341964
india,2018,4,State,karnataka,8315802
india,2018,4,State,andhra pradesh,6857409
india,2018,4,State,telangana,6529679
india,2018,4,State,rajasthan,6358738
india,2018,4,State,west bengal,6279278
india,2018,4,State,gujarat,5579040
india,2018,4,State,madhya pradesh,5365442
india,2018,4,State,tamil nadu,5199878
india,2019,1,District,bengaluru urban,5003207
india,2019,1,District,pune,3038402
india,2019,1,District,jaipur,2060175
